issuer,all_count,free_count,paid_count,none_count
Entomological Society of America,22,0,1,21
Digicomp Academy AG,22,0,0,22
Sounding Board Inc.,22,0,0,22
AIS Academy,22,0,0,22
Shopee Singapore,22,0,0,22
Escalab Tech,21,12,9,0
Five9,21,9,3,9
Asociación Colombiana de Universidades,21,10,9,2
"TKMG Academy, Inc.",21,3,18,0
Hilton,21,8,10,3
National Fire Protection Association®,21,0,18,3
Latino Business Action Network,21,0,21,0
ManchesterCF,21,0,11,10
Agile Change Leadership Institute,21,0,21,0
"RIMS, the risk management society",21,0,10,11
The Forum on Education Abroad,21,0,17,4
LearnQuest,21,0,14,7
USC Marshall Executive Education,21,0,18,3
Zscaler,21,0,21,0
International Education Association of Australia (IEAA),21,0,4,17
ASHRAE,21,0,0,21
Universidad del Rosario,21,0,0,21
Statistics.com,21,0,0,21
Wray Castle Limited,21,0,0,21
Santander,20,17,0,3
Plesk,20,12,0,8
Credly by Pearson,20,12,0,8
International Society for Medical Publication Professionals,20,0,20,0
University of Central Missouri,20,0,20,0
MindHub,20,0,20,0
Asialink,20,0,14,6
The Tax Institute,20,0,20,0
York University,20,0,0,20
CAMICB,20,0,0,20
Microsoft US Business Outcome Selling,20,0,0,20
Lehman College/CUNY,20,0,0,20
XM Cyber,19,18,0,1
Symphony,19,19,0,0
Basis Technologies,19,5,0,14
CIDQ (Council for Interior Design Qualification),19,0,19,0
Society of Wine Educators,19,0,19,0
Board of Canadian Registered Safety Professionals,19,0,18,1
Talogy,19,0,19,0
Perforce,19,0,4,15
Sri Lanka Institute of Marketing (SLIM),19,0,14,5
Beta Alpha Psi,19,0,19,0
AIIR Consulting,19,0,10,9
Avocademy,19,0,19,0
Dalhousie University,19,0,7,12
Security Compass,19,0,0,19
VMware User Group,19,0,0,19
Publicis Sapient,19,0,0,19
C++ Institute,19,0,0,19
Consalta,19,0,0,19
CILEX (The Chartered Institute of Legal Executives),19,0,0,19
Talento Digital para Chile,18,18,0,0
Camunda,18,10,8,0
The New York Academy of Sciences,18,10,5,3
ASTM International,18,5,13,0
Microsoft Community,18,1,0,17
o9 Solutions,18,2,15,1
Universidad Pontificia Bolivariana,18,1,17,0
KM Institute,18,0,18,0
Society for American Baseball Research,18,0,18,0
ETA International,18,0,16,2
USI,18,0,18,0
Venture University,18,0,18,0
Methodry,18,0,18,0
CHIME,18,0,7,11
The Community Solution Education System,18,0,5,13
Northern Alberta Institute of Technology,18,0,18,0
Chartered Institute of Public Relations,18,0,9,9
North Carolina State Executive Education,18,0,3,15
Radisson Hotel Group,18,0,9,9
Blue Wave,18,0,0,18
American Arbitration Association,18,0,0,18
Microsoft - SME&C,18,0,0,18
myHRfuture,18,0,0,18
CareerClover,18,0,0,18
University at Buffalo,18,0,0,18
PDMA - Product Development and Management Association,18,0,0,18
EPIC People,18,0,0,18
Florida International University (FIU),18,0,0,18
ClickHouse,17,13,4,0
Microsoft Power Up Program,17,16,0,1
TechXpert.Guru,17,5,12,0
Microsoft US Office of Digital Data Science (MODDS),17,17,0,0
Kennesaw State University,17,17,0,0
Ververica,17,12,5,0
InfluxData,17,16,0,1
Universidad de las Américas - UDLA,17,1,7,9
RED SUMMA Sistema Universitario Abierto de las Américas,17,2,15,0
Scania CV,17,5,1,11
Modern Endpoint Management,17,7,0,10
Eclipse Foundation,17,2,0,15
Universidad San Francisco de Quito,17,2,5,10
Cruxes Innovation,17,0,17,0
Soomo Learning,17,0,17,0
"Institute of Certified Management Accountants, Australia & NZ (CMA ANZ)",17,0,17,0
The Beryl Institute Credentialing Center,17,0,17,0
Universidad El Bosque,17,0,17,0
American Gem Society,17,0,1,16
Archer,17,0,10,7
Semco Style Institute,17,0,17,0
Change Management Institute,17,0,13,4
Cloudera,17,0,17,0
Money Management Institute,17,0,14,3
Nord Pool Academy,17,0,17,0
Society for Health Care Strategy & Market Development (SHSMD),17,0,12,5
Internal Control Institute,17,0,17,0
DEVMOUNTAIN,17,0,0,17
Explore Google Cloud,17,0,0,17
Veritas now part of Cohesity,17,0,0,17
"Teaching Science and Technology, Inc.",17,0,0,17
Endeavor,17,0,0,17
Richardson,17,0,0,17
DEF CON,17,0,0,17
Cushman & Wakefield,17,0,0,17
MACH Alliance,16,12,2,2
Clay,16,16,0,0
Keysight Technologies,16,4,0,12
Cardano Foundation,16,15,1,0
Loss Prevention Foundation,16,5,11,0
Penguin Solutions,16,16,0,0
Mode,16,16,0,0
IAB - Interactive Advertising Bureau México,16,11,3,2
Centro de Innovación y Desarrollo Emprendedor (CIDE-PUCP),16,1,15,0
Australian Association of Social Workers (AASW),16,2,14,0
MAD20,16,0,16,0
National Association of Plan Advisors (NAPA),16,0,16,0
National Institute for Social Media,16,0,14,2
UMass Lowell Professional Training,16,0,13,3
Axxess,16,0,16,0
NAMSS,16,0,16,0
Flatter Leadership Academy,16,0,16,0
World Happiness Foundation,16,0,16,0
Digital Skills Agency,16,0,15,1
University of Utah,16,0,4,12
Institute for Applied Network Security,16,0,16,0
HCLSoftware U,16,0,12,4
American Medical Informatics Association® (AMIA®),16,0,16,0
Obeya Association,16,0,15,1
Board of Certification for Emergency Nursing,16,0,0,16
City & Guilds Foundation,16,0,0,16
Consortium for School Networking,16,0,0,16
Sirion,16,0,0,16
LVMH House Americas,16,0,0,16
Microsoft Tech for Social Impact,16,0,0,16
SentinelOne,16,0,0,16
University of Florida,15,5,6,4
LA Community College District,15,15,0,0
VMware - Trained Professional,15,12,0,3
Roku,15,15,0,0
Linde,15,14,0,1
Stony Brook University,15,1,0,14
Rocket Software,15,8,4,3
CEdMA Enterprise,15,4,8,3
Hacking HR,15,1,14,0
The Worldwide Cleaning Industry Association,15,2,13,0
"Kotter International, Inc.",15,0,15,0
Influential U,15,0,15,0
Herrmann,15,0,15,0
The Ida Institute,15,0,3,12
The Mintable,15,0,15,0
Performance Consultants International,15,0,15,0
HIMSS,15,0,15,0
Esme Learning Solutions,15,0,15,0
